,PrimerPairReporter,BP,GC,r,m,stzd r,stzd m,target r,target r z,target m,target m z,error from optimization target z
296,RP002x-FP002-EvaGreen,60,0.25,0.9521933757386909,0.0014771862745679497,1.3933717227481772,-0.7907757131802484,0.952,1.3921783746963219,0.01,0.16508002818244957,0.0011933480518553363
311,RP008x-FP001-EvaGreen,15,0.2,0.9117551638275966,0.0002006128512828524,1.1438220029575765,-0.9339467450986114,0.912,1.145332920362931,0.01,0.16508002818244957,0.0015109174053544727
168,FP004-RP004-Probe,63,0.5396825396825397,0.758780010978108,0.016394272401244147,0.1997914752862764,0.8822143201508482,0.758,0.19497792117937396,0.01,0.16508002818244957,0.004813554106902429
124,FP004-FP005-Probe,185,0.5405405405405406,0.4880359183015053,0.016778672835115464,-1.471007238834669,0.9253258292762673,0.486,-1.4835711682876875,0.01,0.16508002818244957,0.01256392945301843
56,FP001-RP004-EvaGreen,28,0.39285714285714285,1.0417904084344742,0.0002334304732489228,1.9462872288160362,-0.9302661633817385,1.05,1.9969497378131311,0.01,0.16508002818244957,0.0506625089970949
322,RP008x-FP005-Probe,66,0.36363636363636365,0.7970810240462706,0.012263214683543792,0.4361522495922702,0.4189054453385696,0.806,0.49119246637944386,0.01,0.16508002818244957,0.055040216787173635
247,FP005-FP001-Probe,53,0.49056603773584906,0.8804868479081716,0.02313838672477462,0.9508609617233144,1.638584294226073,0.866,0.8614606478795306,0.01,0.16508002818244957,0.08940031384378377
24,FP001-RP001x-EvaGreen,98,0.23469387755102042,0.9201446273251135,0.0006247111863346155,1.1955945261740255,-0.8863830130353438,0.902,1.083621556779583,0.01,0.16508002818244957,0.11197296939444246
276,RP001x-FP002-Probe,42,0.30952380952380953,0.9327239777132336,0.019607246606462563,1.2732234127183861,1.2425577395715968,0.951,1.3860072383379871,0.01,0.16508002818244957,0.11278382561960099
298,RP002x-FP004-EvaGreen,43,0.23255813953488372,0.9884664796686702,0.001389873442044423,1.617217993240129,-0.8005680745940867,0.963,1.4600608746380046,0.01,0.16508002818244957,0.15715711860212433
85,FP002-RP002x-EvaGreen,74,0.25675675675675674,0.8718185494908995,0.0012472329677849182,0.8973677101955911,-0.8165655750281039,0.902,1.083621556779583,0.01,0.16508002818244957,0.1862538465839919
307,RP002x-FP005-Probe,82,0.3048780487804878,0.8300642593605966,0.010672304069050079,0.6396962922560193,0.24048067931077682,0.866,0.8614606478795306,0.01,0.16508002818244957,0.22176435562351127
240,FP005-FP001-EvaGreen,51,0.21568627450980393,0.9250322415121649,0.0009177196278351939,1.2257566597892513,-0.8535213537173273,0.963,1.4600608746380046,0.01,0.16508002818244957,0.2343042148487533
35,FP001-RP001x-Probe,36,0.4444444444444444,0.9808508849420678,0.01069850329567195,1.5702211197324505,0.2434189907643114,1.03,1.8735270106464355,0.01,0.16508002818244957,0.30330589091398497
258,FP005-FP004-EvaGreen,91,0.3956043956043956,0.7026902783108435,0.0014543162266959333,-0.14634591330595767,-0.7933406485722394,0.653,-0.4529913964457783,0.01,0.16508002818244957,0.30664548313982065
105,FP002-RP004-EvaGreen,45,0.2222222222222222,0.9163883979533933,0.0013229920667163044,1.1724143225279582,-0.808068994907158,1.05,1.9969497378131311,0.01,0.16508002818244957,0.8245354152851729
